#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
smartcraft.me,suspend,false,false,"ArtiBlock: alt fedi (poa.st,salastil.com)",false
wake.st,suspend,false,false,Paedophilia and lolicon apologist,false
wei.mentalswarf.com,suspend,false,false,nazi soapbox instance,false
whinge.town,suspend,false,false,Federates with the usual suspects,false
wired.socotrine.com,suspend,false,false,"Loli, runs with the same crowd as shitposter.club, freespeechextremist.com, neckbeard.xyz, etc.",false
wurm.host,suspend,false,false,"Suicide baiting, racism, slurs, trolling, harassment",false
xn--p1abe3d.xn--80asehdb,suspend,false,false,racism,false
yggdrasil.social,suspend,false,false,"TERF instance, homophobia",false
youjo.love,suspend,false,false,"pedophilia, holocaust denial, antivax",false
zetamu.club,suspend,false,false,pedophilia,false
quitter.im,silence,false,false,alt-right,false
artalley.social,silence,false,false,Silenced for accusations of hosting/defending underage sexual art,false
horny.enby.space,silence,false,false,Un-CWed NSFW,false
kinky.business,silence,false,false,Un-CWed NSFW,false
porntoot.com,silence,false,false,Un-CWed NSFW,false
stars.eroaward.com,silence,false,false,NSFW adverts,false
2.distsn.org,suspend,false,false,BlocklistsImport,false
434.earth,suspend,false,false,BlocklistsImport,false
7td.org,suspend,false,false,BlocklistsImport,false
80percent.social,suspend,false,false,BlocklistsImport,false
accela.online,suspend,false,false,BlocklistsImport,false
afterlife.masto.host,suspend,false,false,BlocklistsImport,false
albin.social,suspend,false,false,BlocklistsImport,false
anime.website,suspend,false,false,BlocklistsImport,false
archivefedifor.fundefinitely-not-archivefedifor.funfuck-man-i-just-want-like-one-friend.xyz,suspend,false,false,BlocklistsImport,false
aria.company,suspend,false,false,BlocklistsImport,false
beehub.org,suspend,false,false,BlocklistsImport,false
bigguys.club,suspend,false,false,BlocklistsImport,false
buckeye.social,suspend,false,false,BlocklistsImport,false
cawfee.club,suspend,false,false,BlocklistsImport,false
cock.fish,suspend,false,false,BlocklistsImport,false
daffodil-11.org,suspend,false,false,BlocklistsImport,false
disarray.nof.st,suspend,false,false,BlocklistsImport,false
exited.eu,suspend,false,false,BlocklistsImport,false
fedichive.tk,suspend,false,false,BlocklistsImport,false
feminism.lgbt,suspend,false,false,BlocklistsImport,false
freefedifollowers.ga,suspend,false,false,BlocklistsImport,false
freesoftwareextremist.com,suspend,false,false,BlocklistsImport,false
freezepeach.xyz,suspend,false,false,BlocklistsImport,false
friendica.eskimo.com,suspend,false,false,BlocklistsImport,false
functor.pro,suspend,false,false,BlocklistsImport,false
gab.com,suspend,false,false,BlocklistsImport,false
gab.ai,suspend,false,false,BlocklistsImport,false
gabfed.com,suspend,false,false,BlocklistsImport,false
gab.sleeck.eu,suspend,false,false,BlocklistsImport,false
gasthe.lgbt,suspend,false,false,BlocklistsImport,false
gendercritical.club,suspend,false,false,BlocklistsImport,false
gendercritical.space,suspend,false,false,BlocklistsImport,false
glittersluts.club,suspend,false,false,BlocklistsImport,false
glowers.club,suspend,false,false,BlocklistsImport,false
librem.one,suspend,false,false,Lack of moderation oversight for harmful ideologies,false
twtr.plus,silence,false,false,Twitter relay,false
beefyboys.win,suspend,false,false,"Hate speech, ""free speech"", trolling",false
honey.church,suspend,false,false,BlocklistsImport,false
ihatebeinga.live,suspend,false,false,BlocklistsImport,false
inex.rocks,suspend,false,false,BlocklistsImport,false
justicewarrior.social,suspend,false,false,BlocklistsImport,false
kys.moe,suspend,false,false,BlocklistsImport,false
leftlibertarian.club,suspend,false,false,BlocklistsImport,false
lets.saynoto.lgbt,suspend,false,false,BlocklistsImport,false
ligma.pro,suspend,false,false,BlocklistsImport,false
mastodon.starrevolution.org,suspend,false,false,BlocklistsImport,false
mentality.rip,suspend,false,false,BlocklistsImport,false
mobile.co,suspend,false,false,BlocklistsImport,false
mobile.tmediatech.io,suspend,false,false,BlocklistsImport,false
nomoresha.me,suspend,false,false,BlocklistsImport,false
oneway.masto.host,suspend,false,false,BlocklistsImport,false
ost.social,suspend,false,false,BlocklistsImport,false
pieville.net,suspend,false,false,BlocklistsImport,false
pl.765racing.com,suspend,false,false,BlocklistsImport,false
pleroma.comfy.moe,suspend,false,false,BlocklistsImport,false
pleroma.rareome.ga,suspend,false,false,BlocklistsImport,false
pl.lifeweb.cc,suspend,false,false,BlocklistsImport,false
pl.smuglo.li,suspend,false,false,BlocklistsImport,false
princess.cat,suspend,false,false,BlocklistsImport,false
quey.org,suspend,false,false,BlocklistsImport,false
rapefeminists.network,suspend,false,false,BlocklistsImport,false
rayn.bo,suspend,false,false,BlocklistsImport,false
rightmastodon.com,suspend,false,false,BlocklistsImport,false
robo.super-niche.club,suspend,false,false,BlocklistsImport,false
sinblr.com,suspend,false,false,BlocklistsImport,false
sneak.berlin,suspend,false,false,BlocklistsImport,false
soc.h4x.group,suspend,false,false,BlocklistsImport,false
social.culturewar.us,suspend,false,false,BlocklistsImport,false
social.foxfam.club,suspend,false,false,BlocklistsImport,false
social.librem.onelibrem.one,suspend,false,false,BlocklistsImport,false
social.quodverum.com,suspend,false,false,BlocklistsImport,false
social.sphere.com.ai,suspend,false,false,BlocklistsImport,false
societal.co,suspend,false,false,BlocklistsImport,false
socnet.supes.com,suspend,false,false,BlocklistsImport,false
speakfree.world,suspend,false,false,BlocklistsImport,false
sylveon.club,suspend,false,false,BlocklistsImport,false
take.iteasy.club,suspend,false,false,BlocklistsImport,false
thebag.social,suspend,false,false,BlocklistsImport,false
thechad.zone,suspend,false,false,BlocklistsImport,false
traboone.com,suspend,false,false,BlocklistsImport,false
truthsocial.com,suspend,false,false,BlocklistsImport,false
twitter.activitypub.actor,suspend,false,false,BlocklistsImport,false
unsafe.space,suspend,false,false,BlocklistsImport,false
wagesofsinisdeath.com,suspend,false,false,BlocklistsImport,false
waifuappreciation.club,suspend,false,false,BlocklistsImport,false
weedis.life,suspend,false,false,BlocklistsImport,false
wetfish.space,suspend,false,false,BlocklistsImport,false
pl.valkyrie.world,suspend,false,false,No moderation policies,false
x0f.org,suspend,false,false,BlocklistsImport,false
xn--xn6r8h-xg0c.tk,suspend,false,false,BlocklistsImport,false
beta.birdsite.live,silence,false,false,Twitter relay,false
birdsite.live,silence,false,false,Twitter relay,false
dirtyhobby.xyz,silence,false,false,Un-CWed NSFW,false
gyutte.site,suspend,false,false,Lolicon,false
social.076.ne.jp,suspend,false,false,"Racism, lolicon",false
asimon.org,suspend,false,false,"Racism, lolicon",false
mast.ohbutt.com,suspend,true,true,Troll server,false
social.snopyta.org,suspend,false,false,"Lolicon, far-right content",false
varishangout.net,suspend,false,false,"Lolicon, racism",false
miss.mouse.services,suspend,false,false,"Federated with known hate and troll instances, violent imagery with no CW, etc",false
pl.comfysnug.space,suspend,true,false,"No moderation policies beyond ""no cp"", boosts content from known-bad instances",false
hidamari.apartments,suspend,false,false,openly promoting violent ideologies,false
eientei.org,suspend,false,false,"non-moderated homophobia, transphobia & anti-semitism",false
childpawn.shop,suspend,false,false,paedophilia,false
activitypub-troll.cf,suspend,false,false,Public server trolling farm,false
*.acitivitypub-troll.cf,suspend,false,false,Public server trolling farm,false
*.misskey-forkbomb.cf,suspend,false,false,Public server trolling farm,false
misskey-forkbomb.cf,suspend,false,false,Public server trolling farm,false
*.repl.co,suspend,false,false,Public server trolling farm,false
repl.co,suspend,false,false,Public server trolling farm,false
onevery.ignorelist.com,suspend,false,false,Spam,false
fandom.community,silence,true,false,"Lolicon, insufficient moderation of NSFW media",false
social.4f9e1738.ignorelist.com,suspend,true,true,Recursion attack,false
*.ignorelist.com,suspend,false,false,Recursion attack,false
nobodyhasthe.biz,suspend,false,false,"",false
